51: f, 4.727245504765332e-12
52: g, 1.1205188457097393e-05
53: a, 0.0066208806820213795
54: s, 0.10867185890674591
55: s, 0.7606449723243713
56: ;, 8.249258995056152
57: ;, 30.46803855895996
58: ;, 44.90687942504883
59: ;, 42.4302978515625
60: ;, 37.17906188964844
61: ;, 32.7100830078125
62: ;, 38.31311798095703
63: ;, 48.24652862548828
64: ;, 49.658485412597656
65: ;, 44.46842956542969
66: ;, 40.13208770751953
67: ;, 38.49059295654297
68: ;, 38.10491180419922
69: ;, 38.119781494140625
70: ;, 37.993980407714844
71: ;, 37.55099868774414
72: ;, 37.1856803894043
73: ;, 36.84184265136719
74: ;, 36.433189392089844
75: ;, 36.17414093017578
76: ;, 35.81980514526367
77: ;, 35.34062194824219
78: ;, 34.91533279418945
79: ;, 34.773651123046875
80: ;, 34.700706481933594
81: ;, 34.293556213378906
82: ;, 33.86629104614258
83: ;, 33.62757873535156
84: ;, 33.337486267089844
85: ;, 33.08108139038086
86: ;, 32.92515182495117
87: ;, 32.74250030517578
88: ;, 32.3905029296875
89: ;, 31.988012313842773
90: ;, 31.651447296142578
91: ;, 31.4346923828125
92: ;, 31.328075408935547
93: ;, 31.08135414123535
94: ;, 30.52886962890625
95: ;, 30.033199310302734
96: ;, 29.719791412353516
97: ;, 29.491504669189453
98: ;, 29.244535446166992
99: ;, 28.926246643066406
100: ;, 28.536531448364258
101: ;, 28.08451271057129
102: ;, 26.928571701049805
103: s, 39.05413818359375
104: s, 42.293148040771484
105: s, 38.219459533691406
106: s, 35.13387680053711
107: g, 39.739044189453125
108: g, 57.20275115966797
109: g, 73.38541412353516
110: g, 75.26211547851562
111: g, 68.36255645751953
112: g, 63.951690673828125
113: g, 61.885162353515625
114: g, 60.196956634521484
115: g, 58.17298126220703
116: g, 55.93972396850586
117: g, 54.91014862060547
118: g, 54.082977294921875
119: g, 52.14909362792969
120: g, 49.91214370727539
121: g, 47.97260284423828
122: g, 46.50391387939453
123: g, 44.99986267089844
124: g, 43.0136604309082
125: s, 41.38414764404297
126: s, 40.596099853515625
127: s, 38.62028121948242
128: s, 36.920658111572266
129: s, 36.212158203125
130: s, 35.55964660644531
131: s, 34.86686706542969
132: s, 34.046485900878906
133: s, 33.46477127075195
134: s, 33.43925094604492
135: s, 32.999359130859375
136: s, 32.36701583862305
137: s, 32.03748321533203
138: s, 31.70158576965332
139: s, 31.337919235229492
140: s, 30.86032485961914
141: s, 30.58782196044922
142: s, 30.377866744995117
143: s, 29.710172653198242
144: s, 29.485153198242188
145: s, 29.737781524658203
146: s, 29.385107040405273
147: s, 28.6197509765625
148: s, 28.124553680419922
149: s, 28.345840454101562
150: s, 28.235960006713867
151: s, 27.514188766479492
152: s, 26.997486114501953
153: s, 26.481727600097656
154: s, 26.392459869384766
155: s, 26.636133193969727
156: s, 26.368629455566406
157: s, 25.7757625579834
158: s, 25.26396942138672
159: s, 24.71311378479004
160: s, 23.950965881347656
161: s, 22.94829559326172
162: s, 21.795108795166016
163: s, 20.578819274902344
164: s, 19.274837493896484
165: s, 18.00336265563965
166: s, 16.88707160949707
167: s, 15.434954643249512
168: g, 13.427674293518066
169: ;, 29.342111587524414
170: ;, 45.12339401245117
171: ;, 47.16083908081055
172: ;, 42.56638717651367
173: ;, 38.74553298950195
174: ;, 36.2077522277832
175: l, 25.148666381835938
176: k, 39.9055061340332
177: k, 42.14277648925781
178: k, 38.619483947753906
179: k, 36.52165603637695
180: l, 35.11070251464844
181: ;, 39.81401062011719
182: ;, 47.93113327026367
183: ;, 43.21186447143555
184: ;, 37.842140197753906
185: ;, 35.81780242919922
186: ;, 35.583648681640625
187: k, 47.63252258300781
188: k, 52.72964859008789
189: k, 46.94779968261719
190: k, 43.31417465209961
191: k, 40.316001892089844
192: k, 39.11775207519531
193: k, 39.90900421142578
194: k, 39.384178161621094
195: k, 38.453548431396484
196: k, 39.048221588134766
197: k, 38.96078872680664
198: k, 37.62308883666992
199: k, 37.55397415161133
200: k, 37.7809944152832
201: k, 36.76253128051758
202: k, 36.50644302368164
203: k, 36.92137908935547
204: k, 36.28976058959961
205: k, 35.53078079223633
206: k, 35.44411849975586
207: k, 35.189205169677734
208: k, 34.710750579833984
209: k, 34.57744216918945
210: k, 34.237525939941406
211: k, 33.694637298583984
212: k, 33.40397644042969
213: k, 32.58838653564453
214: k, 29.607938766479492
215: k, 27.414608001708984
216: k, 29.62124252319336
217: k, 31.09361457824707
218: l, 34.8160400390625
219: l, 34.21541976928711
220: l, 32.5015983581543
221: d, 31.156448364257812
222: d, 30.754100799560547
223: k, 30.082767486572266
224: k, 28.03215980529785
225: ;, 29.92241096496582
226: ;, 34.40875244140625
227: l, 30.80922508239746
228: k, 27.435880661010742
229: k, 27.28787612915039
230: k, 28.96260643005371
231: ;, 29.721878051757812
232: l, 26.74742317199707
233: k, 26.988903045654297
234: k, 27.698745727539062
235: ;, 27.712276458740234
236: ;, 29.4871768951416
237: ;, 27.179035186767578
238: k, 25.79557991027832
239: k, 23.98384666442871
240: l, 28.294042587280273
241: ;, 30.497472763061523
242: ;, 28.99358367919922
243: d, 25.689655303955078
244: d, 27.12455177307129
245: l, 29.92933464050293
246: ;, 32.30253601074219
247: l, 31.551803588867188
248: d, 32.27322769165039
249: d, 32.42577362060547
250: d, 32.33146286010742
251: l, 32.925533294677734
252: d, 32.21968460083008
253: d, 32.19985580444336
254: d, 32.09737777709961
255: d, 31.73102569580078
256: l, 31.580707550048828
257: d, 30.55097007751465
258: d, 29.783706665039062
259: d, 29.556407928466797
